right_hip_roll,right_hip_pitch,right_knee,left_hip_roll,left_hip_pitch,left_knee,torso,left_hip_yaw,right_hip_yaw,left_ankle,right_ankle,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow
0.200762,-0.344139,0.711170,-0.185494,-0.315546,0.749126,0.003794,-0.003161,0.070177,-0.780467,-0.722121,0.202529,0.001115,0.353869,0.383553,0.180538,0.045603,-0.380585,0.428676
0.200355,-0.345021,0.715146,-0.184533,-0.317077,0.751476,0.003790,-0.003158,0.069687,-0.777551,-0.718026,0.204144,0.001114,0.345984,0.373769,0.182730,0.045561,-0.372210,0.420626
0.199902,-0.345902,0.719200,-0.183323,-0.318422,0.754534,0.003763,-0.003154,0.069290,-0.775174,-0.713818,0.205775,0.001131,0.337197,0.364654,0.185068,0.045519,-0.364042,0.410270
0.199337,-0.346781,0.723643,-0.182184,-0.320835,0.757770,0.003759,-0.003174,0.068939,-0.772485,-0.709460,0.207450,0.001121,0.329103,0.355235,0.187073,0.045468,-0.356377,0.400260
0.198749,-0.348113,0.727950,-0.181251,-0.322834,0.760659,0.003754,-0.003147,0.068543,-0.769847,-0.705000,0.208897,0.001119,0.321674,0.345216,0.188590,0.045417,-0.349375,0.390487
0.198207,-0.349261,0.731892,-0.180343,-0.324805,0.763641,0.003796,-0.003167,0.068079,-0.767261,-0.700931,0.210668,0.001118,0.314072,0.335919,0.190542,0.045366,-0.342011,0.381650
0.197553,-0.350361,0.736053,-0.179504,-0.327273,0.767128,0.003746,-0.003163,0.067617,-0.764606,-0.696526,0.212305,0.001117,0.307965,0.328416,0.192565,0.045287,-0.335550,0.372348
0.196945,-0.351324,0.739426,-0.178758,-0.329463,0.769672,0.003651,-0.003137,0.067178,-0.761677,-0.692856,0.213864,0.001116,0.300689,0.319076,0.194816,0.045218,-0.327465,0.364759
0.196293,-0.352261,0.743330,-0.177922,-0.331331,0.772338,0.003647,-0.003088,0.066740,-0.759079,-0.688682,0.215430,0.001105,0.292812,0.310239,0.196728,0.045148,-0.319799,0.355334
0.195664,-0.352994,0.747480,-0.177133,-0.332902,0.775409,0.003688,-0.003130,0.066325,-0.756180,-0.684704,0.217085,0.001113,0.284925,0.301127,0.198441,0.045097,-0.313034,0.346492
0.195036,-0.354154,0.751593,-0.176345,-0.335148,0.777966,0.003752,-0.003149,0.065798,-0.753704,-0.680928,0.218403,0.001103,0.277751,0.292222,0.199892,0.045055,-0.306417,0.338178
0.194364,-0.355245,0.755303,-0.175243,-0.336824,0.780474,0.003793,-0.003145,0.065317,-0.751279,-0.676633,0.219997,0.001101,0.272732,0.285769,0.201655,0.045004,-0.299734,0.330149
0.193602,-0.356221,0.758159,-0.174142,-0.338497,0.782950,0.003766,-0.003142,0.064928,-0.748536,-0.673650,0.221421,0.001100,0.266067,0.277808,0.203451,0.044944,-0.294214,0.321630
0.192662,-0.357195,0.761545,-0.173134,-0.340730,0.785195,0.003716,-0.003138,0.064426,-0.745789,-0.669991,0.222630,0.001099,0.259284,0.269837,0.205474,0.044875,-0.286918,0.314410
